Value,Base32,Last,First,Initial,Suffix,Prefix,Author,Degree
0,A,Andronicus,Antony,A,of Athens,Archbishop,Andersen,ABD
1,B,Brutus,Berowne,B,the Bodkin,Beadle,Barrie,BS
2,C,Cassandra,Coriolanus,C,the Clerk,Chamberlain,Carroll,CTF
3,D,Duncan,Desdemona,D,of Denmark,Duchess,Dahl,DSC
4,E,Euphronius,Eleanor,E,of Ephesus,Earl,Eliot,EdD
5,F,Fortinbras,Falstaff,F,the Fardel,Friar,Fitzgerald,FRCP
6,G,Guildenstern,Goneril,G,the Goth,Gaoler,Geisel,GP
7,H,Hotspur,Hamlet,H,of Harfleur,Henchman,Hargreaves,HolD
8,I,Iago,Isabela,I,of Illyria,Ides,Irving,IDM
9,J,Julliet,Jupiter,J,the Jaunce,Justicer,Juster,JD
0,K,Kent,Katherine,K,the Keeper,King,Kipling,KBE
1,L,Lear,Laertes,L,of Lancaster,Lady,Le Guin,LittD
2,M,MacBeth,Montague,M,of Milan,Mayor,Milne,MD
3,N,Nerissa,Nan,N,the Noble,Nurse,Norton,NP
4,O,Othello,Ophelia,O,of Orleans,Old,O'Brian,OD
5,P,Prospero,Polonius,P,la Pucelle,Poet,Potter,PhD
6,Q,Quince,Quickly,Q,the Quarrelsome,Queen,Quimby,QM
7,R,Rosencrantz,Regan,R,of Rousillon,Rogue,Rey,RN
8,S,Stephano,Servillius,S,of Syracuse,Sheriff,Sendak,ScD
9,T,Titus,Timon,T,of Troy,Thane,Tolkein,ThD
0,U,Ursula,Ulysses,U,the Unsinewed,Urchin,Gruelle,UFO
1,V,Vincentio,Viola,V,of Verona,Varlet,Verne,VP
2,W,Winchester,Woodville,W,of Wiltshire,Weird,White,WWF
3,X,Xescalus,Xanthippe,X,of Essex,Exeunt,de Saint-Exupery,XD
4,Y,Yew,Yedward,Y,of York,Yeoman,Sobol,yH
5,Z,Znebuchadnezzar,Zenith,Z,the Azured,Zealot,DiCamillo,ZIF
6,2,2wo-headed,Secundus,Tw,II,First,Twain,2AM
7,3,3hrupence,Tiers,Th,III,Second,Baum,3GL
8,4,4our-inched,Quarto,Fo,IV,Third,Forbes,4WD
9,5,5ive-fathom,Quintus,Fi,V,Fourth,George,5D
0,6,6ix-gated,Sextus,Si,VI,Fifth,Swift,6SBB
1,7,7even-night,Septimus,Se,VII,Sixth,Silverstein,7PM
